Update 04/08/2026,Chuyển liên kết sang Ứng dụng + In / Nhân bản / Import-Export,,,Task: http://quanly.dnsmedia.vn/issues/10682,,,,,,,,,,,,,,,,,
Mẫu phiếu thu thập thông tin,Trường Ứng dụng trên form,,TC-ROLE-190,Form Tạo mẫu phiếu — không còn Nhóm ngành / Nhóm giải pháp,P0,User có quyền 'Quản lý danh mục mẫu phiếu thu thập thông tin',"1. Vào Danh mục >> Phiếu thu thập thông tin
2. Click 'Tạo mẫu phiếu'
3. Quan sát khối thông tin chung",User: quyền quản lý mẫu phiếu,"- KHÔNG còn trường 'Nhóm ngành' và 'Nhóm giải pháp' (kể cả ẩn dưới dạng disabled)
- Khối thông tin chung chỉ còn: Tên form (bắt buộc) + Ứng dụng (bắt buộc)",,,,,,,,,,,,
Mẫu phiếu thu thập thông tin,Trường Ứng dụng trên form,,TC-ROLE-191,Form Tạo — dropdown Ứng dụng lấy đúng danh mục Ứng dụng,P0,Danh mục Ứng dụng đang có 5 bản ghi hoạt động,"1. Mở form Tạo mẫu phiếu
2. Mở dropdown 'Ứng dụng'
3. Đối chiếu với Danh mục >> Ứng dụng",5 ứng dụng đang hoạt động,"- Dropdown liệt kê đủ 5 ứng dụng, đúng tên như trong danh mục
- Có ô tìm kiếm trong dropdown, gõ từ khoá lọc đúng",,,,,,,,,,,,
Mẫu phiếu thu thập thông tin,Trường Ứng dụng trên form,,TC-ROLE-192,Validate bắt buộc chọn Ứng dụng,P0,Đang ở form Tạo mẫu phiếu,"1. Nhập Tên form, bỏ trống Ứng dụng
2. Thêm 1 phần + 1 câu hỏi
3. Bấm 'Lưu'",application_id = null,"- Không lưu; lỗi inline dưới ô Ứng dụng (viền đỏ + text bắt buộc)
- BE trả 422 nếu bypass UI",,,,,,,,,,,,
Mẫu phiếu thu thập thông tin,Trường Ứng dụng trên form,,TC-ROLE-193,Tạo mẫu phiếu thành công có Ứng dụng,P0,Danh mục Ứng dụng có 'Ứng dụng A',"1. Nhập Tên form 'Phiếu KS A'
2. Chọn Ứng dụng = 'Ứng dụng A'
3. Thêm phần + câu hỏi
4. Lưu",name='Phiếu KS A'; application='Ứng dụng A',"- Toast lưu thành công, quay về danh sách
- Bản ghi mới có cột Ứng dụng = 'Ứng dụng A'
- Mã mẫu phiếu (code) được sinh tự động và hiển thị",,,,,,,,,,,,
Mẫu phiếu thu thập thông tin,Trường Ứng dụng trên form,,TC-ROLE-194,Form Sửa — hiển thị đúng Ứng dụng đang gắn,P0,Mẫu phiếu 'Phiếu KS A' gắn Ứng dụng A,"1. Mở màn Sửa mẫu phiếu 'Phiếu KS A'
2. Quan sát trường Ứng dụng",Mẫu phiếu 'Phiếu KS A',"- Trường Ứng dụng hiển thị sẵn 'Ứng dụng A'
- Không còn Nhóm ngành / Nhóm giải pháp",,,,,,,,,,,,
Mẫu phiếu thu thập thông tin,Trường Ứng dụng trên form,,TC-ROLE-195,Đổi Ứng dụng của mẫu phiếu và lưu,P0,Mẫu phiếu 'Phiếu KS A' đang gắn Ứng dụng A; trạng thái chưa duyệt/chưa khoá,"1. Mở màn Sửa
2. Đổi Ứng dụng sang 'Ứng dụng B'
3. Lưu
4. Về danh sách quan sát cột Ứng dụng",application: A → B,"- Lưu thành công
- Cột Ứng dụng ở danh sách và màn chi tiết đều = 'Ứng dụng B'",,,,,,,,,,,,
Mẫu phiếu thu thập thông tin,Trường Ứng dụng trên form,,TC-ROLE-196,Mẫu phiếu đã duyệt (status = 2) — khoá trường Ứng dụng,P1,Mẫu phiếu 'Phiếu KS B' đã ở trạng thái duyệt/hoạt động,"1. Mở màn Sửa 'Phiếu KS B'
2. Thử mở dropdown Ứng dụng",status = 2,"- Dropdown Ứng dụng ở trạng thái disabled, không đổi được
- Các trường khác theo đúng quy tắc trạng thái hiện hành",,,,,,,,,,,,
Mẫu phiếu thu thập thông tin,Trường Ứng dụng trên form,,TC-ROLE-197,Màn Chi tiết mẫu phiếu hiển thị Ứng dụng,P0,Mẫu phiếu 'Phiếu KS A' gắn Ứng dụng A,"1. Từ danh sách bấm 'Xem' mẫu phiếu
2. Quan sát phần thông tin chung",Mẫu phiếu 'Phiếu KS A',"- Hiển thị Tên form, Mã mẫu phiếu, Ứng dụng = 'Ứng dụng A'
- Không hiển thị Nhóm ngành / Nhóm giải pháp",,,,,,,,,,,,
Mẫu phiếu thu thập thông tin,Trường Ứng dụng trên form,,TC-ROLE-198,Màn Xem trước (Preview) hiển thị Ứng dụng,P1,Đang ở form Tạo/Sửa có dữ liệu,"1. Bấm 'Xem trước'
2. Quan sát phần header của bản xem trước",Mẫu phiếu 'Phiếu KS A',"- Header xem trước có Tên form + Mã mẫu phiếu + Ứng dụng
- Không còn Nhóm ngành / Nhóm giải pháp",,,,,,,,,,,,
Mẫu phiếu thu thập thông tin,Danh sách & Bộ lọc,,TC-ROLE-199,Cột Ứng dụng trên bảng danh sách,P0,Có ≥ 5 mẫu phiếu thuộc các ứng dụng khác nhau,"1. Vào Danh mục >> Phiếu thu thập thông tin
2. Quan sát các cột của bảng",5 mẫu phiếu,"- Có cột 'Ứng dụng' hiển thị đúng tên ứng dụng của từng mẫu
- KHÔNG còn cột Nhóm ngành / Nhóm giải pháp",,,,,,,,,,,,
