Dự án tiền KT	Cập nhật tiến trình khi duyệt báo giá	TC-ROLE-275	Tự triển khai + không làm giải pháp: tự duyệt báo giá (cấp 1) → tiến trình chuyển 'Thương thảo giá'	P0	User có quyền tạo dự án & duyệt báo giá; Dự án TKT luồng 'Tự triển khai', chọn 'Không' làm giải pháp; tiến trình đang là 'Thu thập thông tin dự án'; đã tạo 1 báo giá gắn dự án này, cấp duyệt = cấp 1 (tự duyệt)	1. Vào Quản lý dự án TKT → Báo giá, mở báo giá của dự án | 2. Click 'Tự duyệt' (cấp 1) → xác nhận | 3. Quay lại Danh sách/Chi tiết dự án TKT của dự án đó | 4. Quan sát cột/khối 'Tiến trình dự án'	Dự án: luồng Tự triển khai, làm giải pháp = Không | Báo giá: cấp duyệt 1	- Báo giá chuyển trạng thái 'Đã duyệt' | - Tiến trình dự án TKT tự động chuyển từ 'Thu thập thông tin dự án' → 'Thương thảo giá' (không cần thao tác thủ công) | - Không phát sinh lỗi 500; các thông tin khác của dự án giữ nguyên					Testcase bổ sung theo Redmine #10887					
Dự án tiền KT	Cập nhật tiến trình khi duyệt báo giá	TC-ROLE-276	Duyệt báo giá cấp 2 (TP duyệt) → tiến trình chuyển 'Thương thảo giá'	P0	Như TC-ROLE-275 nhưng báo giá ở cấp duyệt 2; báo giá đã Gửi duyệt, trạng thái 'Chờ TP duyệt'; user có quyền 'Trưởng phòng duyệt giá Bom giải pháp'	1. Đăng nhập bằng user TP có quyền duyệt | 2. Vào Báo giá chờ duyệt → mở báo giá → click 'Duyệt' | 3. Mở lại dự án TKT liên kết | 4. Quan sát Tiến trình dự án	Báo giá: cấp duyệt 2, trạng thái 'Chờ TP duyệt'	- Báo giá chuyển 'Đã duyệt' | - Tiến trình dự án TKT chuyển sang 'Thương thảo giá' ngay sau khi TP duyệt					Testcase bổ sung theo Redmine #10887					
Dự án tiền KT	Cập nhật tiến trình khi duyệt báo giá	TC-ROLE-277	Duyệt báo giá cấp 3: TP duyệt xong (chờ BGĐ) thì tiến trình CHƯA đổi	P0	Báo giá cấp duyệt 3 (TP + BGĐ), đang 'Chờ TP duyệt'; dự án TKT tiến trình 'Thu thập thông tin dự án'	1. TP duyệt báo giá | 2. Kiểm tra trạng thái báo giá = 'Chờ BGĐ duyệt' | 3. Mở dự án TKT liên kết, quan sát Tiến trình dự án	Báo giá: cấp duyệt 3	- Báo giá ở trạng thái 'Chờ BGĐ duyệt' | - Tiến trình dự án TKT VẪN giữ nguyên 'Thu thập thông tin dự án' (chưa được duyệt cuối nên chưa chuyển)					Testcase bổ sung theo Redmine #10887					
Dự án tiền KT	Cập nhật tiến trình khi duyệt báo giá	TC-ROLE-278	Duyệt báo giá cấp 3: BGĐ duyệt → tiến trình chuyển 'Thương thảo giá'	P0	Tiếp nối TC-ROLE-277: báo giá đang 'Chờ BGĐ duyệt'; user có quyền 'Ban giám đốc duyệt giá Bom giải pháp'	1. Đăng nhập user BGĐ | 2. Mở báo giá → click 'Duyệt' | 3. Mở dự án TKT liên kết, quan sát Tiến trình dự án	Báo giá: cấp duyệt 3, trạng thái 'Chờ BGĐ duyệt'	- Báo giá chuyển 'Đã duyệt' | - Tiến trình dự án TKT chuyển sang 'Thương thảo giá'					Testcase bổ sung theo Redmine #10887					
Dự án tiền KT	Cập nhật tiến trình khi duyệt báo giá	TC-ROLE-279	Từ chối duyệt báo giá → tiến trình dự án KHÔNG đổi	P0	Báo giá đang 'Chờ TP duyệt' hoặc 'Chờ BGĐ duyệt'; dự án TKT tiến trình 'Thu thập thông tin dự án'	1. Mở báo giá → click 'Không duyệt' / 'Từ chối', nhập lý do → xác nhận | 2. Mở dự án TKT liên kết, quan sát Tiến trình dự án	Lý do từ chối: 'Giá chưa hợp lý'	- Báo giá quay về 'Đang tạo' kèm lý do từ chối | - Tiến trình dự án TKT giữ nguyên 'Thu thập thông tin dự án' (không bị chuyển 'Thương thảo giá')					Testcase bổ sung theo Redmine #10887					
Dự án tiền KT	Cập nhật tiến trình khi duyệt báo giá	TC-ROLE-280	Dự án TKT CÓ làm giải pháp: duyệt báo giá → dự án 'Thương thảo giá' + giải pháp 'Đã duyệt giá'	P0	Dự án TKT chọn 'Có' làm giải pháp, đã có giải pháp được duyệt; báo giá gắn dự án + giải pháp này	1. Duyệt báo giá (theo đúng cấp duyệt) | 2. Mở dự án TKT → quan sát Tiến trình dự án | 3. Mở giải pháp liên kết → quan sát trạng thái giải pháp	Dự án: làm giải pháp = Có	- Tiến trình dự án TKT = 'Thương thảo giá' | - Trạng thái giải pháp liên kết = 'Đã duyệt giá'					Testcase bổ sung theo Redmine #10887					
Dự án tiền KT	Cập nhật tiến trình khi duyệt báo giá	TC-ROLE-281	Báo giá không gắn dự án TKT: duyệt vẫn thành công, không ảnh hưởng dự án khác	P1	Có báo giá tự lập KHÔNG chọn dự án TKT (project rỗng)	1. Duyệt báo giá này | 2. Quan sát kết quả duyệt | 3. Kiểm tra danh sách dự án TKT	Báo giá: không chọn dự án	- Duyệt thành công, không phát sinh lỗi 500 | - Không có dự án TKT nào bị đổi tiến trình sang 'Thương thảo giá'					Testcase bổ sung theo Redmine #10887					
Dự án tiền KT	Cập nhật tiến trình khi duyệt báo giá	TC-ROLE-282	Hiển thị & lọc theo Tiến trình 'Thương thảo giá' trên màn danh sách dự án TKT	P1	Đã có ít nhất 1 dự án TKT chuyển sang 'Thương thảo giá' sau khi duyệt báo giá	1. Vào Danh sách dự án TKT | 2. Quan sát cột 'Tiến trình dự án' của dự án vừa duyệt báo giá | 3. Mở Tìm kiếm nâng cao → chọn Tiến trình dự án = 'Thương thảo giá' → Tìm kiếm	Tiến trình dự án = 'Thương thảo giá'	- Cột Tiến trình dự án hiển thị đúng 'Thương thảo giá' (không còn 'Thu thập thông tin dự án') | - Bộ lọc trả về đúng các dự án đang ở 'Thương thảo giá', trong đó có dự án vừa duyệt báo giá					Testcase bổ sung theo Redmine #10887					
Dự án tiền KT	Cập nhật tiến trình khi duyệt báo giá	TC-ROLE-283	Chi tiết dự án TKT: timeline/tiến trình cập nhật đúng sau khi duyệt báo giá	P1	Dự án TKT vừa được chuyển sang 'Thương thảo giá' do duyệt báo giá	1. Mở màn Chi tiết/Quản lý dự án TKT | 2. Quan sát khối tiến trình (timeline các bước) | 3. Reload lại trang	—	- Bước 'Thương thảo giá' được đánh dấu là bước hiện tại; các bước trước hiển thị đã qua | - Sau reload dữ liệu vẫn đúng (đã lưu DB, không phải chỉ đổi trên UI)					Testcase bổ sung theo Redmine #10887					
Dự án tiền KT	Cập nhật tiến trình khi duyệt báo giá	TC-ROLE-284	Duyệt thêm báo giá khác của cùng dự án khi dự án đã ở tiến trình sau 'Thương thảo giá'	P1	Dự án TKT đã ở tiến trình sau 'Thương thảo giá' (VD: 'Thương thảo dự án hợp đồng'); tạo thêm 1 báo giá mới cho chính dự án này	1. Duyệt báo giá mới của dự án | 2. Mở dự án TKT → quan sát Tiến trình dự án	Dự án: tiến trình 'Thương thảo dự án hợp đồng'	- Xác nhận nghiệp vụ: tiến trình dự án KHÔNG bị lùi về 'Thương thảo giá' (chỉ tiến, không lùi) | - Ghi chú: hiện BE đang ghi đè trạng thái → cần xác nhận lại yêu cầu với TPE nếu kết quả bị lùi					Testcase bổ sung theo Redmine #10887					
